endTime,artistName,trackName,msPlayed
3/29/20 17:58,Fancy Reagan,Knock Me Out,223020
3/29/20 18:01,The Score,Unstoppable,192106
3/29/20 18:03,Bad Suns,Daft Pretty Boys,9060
3/29/20 18:03,Baths,Aminals,116465
3/29/20 18:03,AWOLNATION,Passion,2350
3/29/20 18:03,Florence + The Machine,Cosmic Love,880
3/29/20 18:03,Smallpools,Street Fight,3160
3/29/20 18:03,Grouplove,Welcome to Your Life,1440
3/29/20 18:03,Robby Hunter Band,Hard on Me,2590
3/29/20 18:08,CHAPPY,Colorado,267611
3/29/20 18:12,Colony House,Moving Forward,217986
3/29/20 18:16,Jukebox The Ghost,Fred Astaire,219000
3/29/20 18:20,The California Honeydrops,Crazy Girls,237546
3/29/20 18:46,Wild Party,When I Get Older,390
3/29/20 18:46,The Strumbellas,We Don't Know,258714
3/29/20 18:46,MAGIC GIANT,Set On Fire,590
3/29/20 18:47,The New Electric Sound,Tango,0
3/29/20 18:47,The Strumbellas,One Hand Up,340
3/29/20 18:47,Jukebox The Ghost,Everybody's Lonely,0
3/29/20 18:47,Judah & the Lion,pictures feat. Kacey Musgraves,0
3/29/20 18:47,Lana Del Rey,Young And Beautiful,200
3/29/20 18:47,The Colourist,Wishing Wells,0
3/29/20 18:47,Lana Del Rey,Fuck it I love you,0
3/29/20 18:47,Of Monsters and Men,Dirty Paws,580
3/29/20 18:47,Lana Del Rey,Doin' Time,0
3/29/20 18:47,The Band CAMINO,14-Feb,0
3/29/20 18:47,The Oh Hellos,Trees,5390
3/29/20 18:47,HARBOUR,Judy You Hung the Moon,0
3/29/20 18:47,Grizfolk,Waiting For You,1300
3/29/20 18:47,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley...,1130
3/29/20 18:51,Lana Del Rey,Norman fucking Rockwell,248934
3/29/20 18:52,Lana Del Rey,Summertime Sadness,1730
3/29/20 18:52,Lana Del Rey,Born To Die,26345
3/29/20 18:52,Ambrosia,How Much I Feel,1320
3/29/20 18:52,The Beach Boys,God Only Knows - Remastered,2180
3/29/20 18:55,Elton John,I'm Still Standing,183440
3/29/20 18:58,The Monkees,I'm a Believer - 2006 Remaster,167373
3/29/20 19:01,Chad & Jeremy,A Summer Song,19123
3/29/20 19:01,Bee Gees,If I Can't Have You,15710
3/29/20 19:01,Dolly Parton,Jolene,161533
3/29/20 19:02,Dolly Parton,Here You Come Again,65050
3/31/20 20:18,Dolly Parton,Here You Come Again,114436
3/31/20 20:19,Keane,Somewhere Only We Know,11700
3/31/20 20:19,Jukebox The Ghost,Girl,46893
3/31/20 20:23,Miley Cyrus,Rainbowland (feat. Dolly Parton),265373
3/31/20 20:24,Miley Cyrus,Rainbowland (feat. Dolly Parton),640
3/31/20 20:31,Dolly Parton,Islands In the Stream,251960
3/31/20 21:09,Ingrid Michaelson,The Lotto,522
3/31/20 21:09,Dolly Parton,Here You Come Again,6037
3/31/20 21:09,Jukebox The Ghost,Girl,1149
4/2/20 15:33,Keane,Somewhere Only We Know,160834
4/2/20 15:33,ABBA,Dancing Queen,267
4/3/20 0:44,The Piano Guys,Me and My Cello (Happy Together),185840
4/3/20 0:48,Vitamin String Quartet,Royals,203426
4/3/20 0:53,Village People,Y.M.C.A.,286666
4/3/20 0:57,Gloria Gaynor,I Will Survive - 1981 Re-recording,261173
4/3/20 1:01,The Piano Guys,Rockelbel's Canon (Pachelbel Canon in D),228866
4/3/20 1:04,ABBA,"Money, Money, Money",186786
4/3/20 1:07,Vitamin String Quartet,Radioactive,189559
4/3/20 1:11,Wham!,Wake Me Up Before You Go-Go,231333
4/3/20 1:15,Tina Turner,What's Love Got to Do with It,226880
4/3/20 1:17,Daniel Jang,Young Dumb & Broke,143357
4/3/20 1:21,Josh Vietti,Black & Yellow,220609
4/3/20 1:26,Dexys Midnight Runners,Come On Eileen,287306
4/3/20 1:30,David Bowie,Starman - 2012 Remaster,254293
4/3/20 1:57,Brooklyn Duo,Beautiful Day,241695
4/3/20 2:01,S Club 7,Reach - Radio Edit,243266
4/3/20 2:04,ABBA,Mamma Mia,215266
4/3/20 2:08,Benny Martin,Canon In D (Piano & Cello),244090
4/3/20 2:12,2CELLOS,Moon River,192840
4/3/20 2:14,Vitamin String Quartet,Sunflower (feat. ThatViolaKid),164573
4/3/20 2:18,The Piano Guys,Because of You,242853
4/3/20 2:22,Cyndi Lauper,Time After Time,243066
4/3/20 2:26,Dallas String Quartet,Hey Soul Sister,223440
4/3/20 2:30,ABBA,Super Trouper,251786
4/3/20 2:34,Midnite String Quartet,Roses,189774
4/3/20 2:36,The Piano Guys,Avengers/Portals,177000
4/3/20 2:39,The Romantics,What I Like About You,175400
4/3/20 2:44,Modern English,I Melt with You,251573
4/3/20 14:54,Dolly Parton,Islands In the Stream,251960
4/3/20 14:56,Waylon Jennings,Mammas Don't Let Your Babies Grow up to Be Cowboys,110549
4/3/20 14:59,The Monkees,I'm a Believer - 2006 Remaster,167373
4/3/20 15:03,Neil Diamond,"America - From ""The Jazz Singer"" Soundtrack",257600
4/3/20 15:06,Paul Simon,Me and Julio Down by the Schoolyard,164813
4/3/20 15:08,Joni Mitchell,Big Yellow Taxi,134800
4/3/20 15:11,The Monkees,Daydream Believer,179613
4/3/20 15:14,Glen Campbell,Gentle On My Mind - Remastered 2001,178626
4/3/20 15:16,Trisha Yearwood,She's In Love With The Boy - Single Version,4202
4/3/20 15:16,John Denver,Leaving on a Jet Plane,118909
4/4/20 2:36,Roger Eno,Cerulean Blue,4629
4/4/20 2:36,paris match,cerulean blue,20800
4/4/20 20:45,Vitamin String Quartet,Shape of You,99430
4/4/20 20:48,The Script,Paint the Town Green,211800
4/4/20 20:52,Andy Grammer,Keep Your Head Up,189933
4/4/20 21:11,Sheppard,Hometown,181468
4/4/20 21:15,American Authors,Do My Own Thing,196656
4/4/20 21:18,Ben Rector,Drive,170066
4/4/20 21:18,Sara Bareilles,Brave,5456
4/4/20 21:19,Rag'n'Bone Man,Human,626
4/4/20 21:19,John Mayer,New Light,417
4/4/20 21:19,The Tuesday Crew,Summer Lovin',1277
4/4/20 21:19,Glass Animals,Gooey,0
4/4/20 21:19,Tame Impala,The Less I Know The Better,0
4/4/20 21:19,SALES,Chinese New Year,2647
4/4/20 21:19,Lewis Del Mar,Malt Liquor,522
4/4/20 21:19,Saint Motel,For Elise,905
4/4/20 21:19,Surfaces,Sunday Best,545
4/4/20 21:19,Surfaces,Sunday Best,406
4/4/20 21:19,Clay Finnesand,R.G.T.,464
4/4/20 21:19,Clay Finnesand,R.G.T.,1451
4/4/20 21:19,SafetySuit,Perfect Color,64110
4/4/20 21:19,The Maine,Another Night On Mars,592
4/4/20 21:19,David Bowie,Starman - 2012 Remaster,893
4/4/20 21:19,Jukebox The Ghost,Jumpstarted,487
4/4/20 21:19,BabyJake,Cigarettes On Patios,731
4/4/20 21:19,Juice,September Told Me,359
4/4/20 21:19,Robby Hunter Band,Corazón,429
4/4/20 21:19,Mipso,Carolina Calling,429
4/4/20 21:24,Glass Animals,Gooey,289306
4/4/20 21:27,Kasbo,Places We Don't Know,204532
4/4/20 21:30,Portugal. The Man,Feel It Still,163253
4/4/20 21:33,Surfaces,Sunday Best,158571
4/4/20 21:36,Tame Impala,The Less I Know The Better,216320
4/4/20 21:40,Sammy Rae & The Friends,Talk It Up,238480
4/4/20 21:44,Morningsiders,Freida,204200
4/4/20 21:47,Valley,You,212760
4/4/20 21:50,Stephen Day,Dancing in the Street,199026
4/4/20 21:53,Lawrence,Casualty,143893
4/4/20 21:57,Jordy Searcy,Love & War in Your Twenties,250547
4/4/20 22:00,Ben Rector,Duo,202586
4/4/20 22:04,Lake Street Dive,Good Kisser,218493
4/4/20 22:07,Jukebox The Ghost,Stay the Night,170647
4/4/20 22:11,Sammy Rae & The Friends,The Feeling,236213
4/4/20 22:13,Johnnyswim,Ring the Bells,152933
4/4/20 22:17,Hippo Campus,Bambi - Recorded at Spotify Studios NYC,202617
4/4/20 22:20,Cody Fry,Vegas,183361
4/4/20 22:21,Ingrid Michaelson,The Lotto,49903
4/4/20 22:25,The Tuesday Crew,Summer Lovin',241243
4/4/20 22:28,Wild Party,Chasin' Honey,189960
4/4/20 22:32,Juice,September Told Me,255880
4/4/20 22:33,Stephen Day,Twenty Two and Some Change,46432
4/4/20 22:36,Jukebox The Ghost,Hollywood,205826
4/4/20 22:38,Ingrid Michaelson,You and I,1660
4/4/20 22:38,Ben Rector,Drive,824
4/4/20 22:38,Logan Smith,The Thought of You,108942
4/4/20 22:42,Young Mister,Carolina,247357
4/4/20 22:46,Early Eyes,Penelope,236634
4/4/20 22:50,Bad Suns,Violet,198400
4/4/20 22:53,HARBOUR,Runaway Kids,224343
4/4/20 23:02,Will Campisano,Weatherman,196793
4/4/20 23:04,Ben Rector,Brand New,2914
4/4/20 23:04,Lake Street Dive,You Go Down Smooth,96810
4/4/20 23:04,American Authors,Pocket Full Of Gold,2147
4/4/20 23:08,Surfaces,Palm Trees,260000
4/4/20 23:12,RELIC,Winter,235598
4/4/20 23:16,Jukebox The Ghost,Girl - The Wild Honey Pie Buzzsession,229936
4/4/20 23:20,Bronze Radio Return,With Me All Along,226710
4/4/20 23:23,The Happy Fits,Achey Bones,201906
4/4/20 23:27,HARBOUR,Judy You Hung the Moon,210000
4/4/20 23:31,The National Parks,You Are Gold,216653
4/4/20 23:33,Ben Rector,I Like You,138517
4/4/20 23:36,Your Neighbors,Chicken,207849
4/4/20 23:40,Hippo Campus,baseball,198106
4/4/20 23:44,Lawrence,Probably Up,254653
4/5/20 1:08,Ben Rector,"30,000 Feet",2159
4/5/20 1:08,Penny and Sparrow,Don't Wanna Be Without Ya,3343
4/5/20 1:08,The Band CAMINO,14-Feb,84870
4/5/20 17:55,Surfaces,24 / 7 / 365,177000
4/5/20 17:57,Jacob Sigman,Good Morning Beauty Queen,141444
4/5/20 18:01,Jordy Searcy,Why Can't We Be Friends?,207656
4/5/20 18:04,Colony House,Silhouettes,177773
4/5/20 18:04,Rozzi,Joshua Tree,37372
4/5/20 18:04,Melt,Sour Candy,15927
4/5/20 18:08,Valley,There's Still A Light In The House,203106
4/5/20 18:12,Sam Burchfield,Valentine Girl,235640
4/5/20 18:15,Danny and Alex,Who's Been Smoking You Out?,194400
4/5/20 18:18,Wild Rivers,A Week Ago,163448
4/5/20 18:22,Ben Rector,Kids,257493
4/5/20 18:24,Jordy Searcy,Explaining Jesus,112733
4/5/20 18:28,My Brothers And I,Maddy Brown,219695
4/5/20 18:32,fun.,The Gambler,251266
4/5/20 18:37,Johnnyswim,Summertime Romance,304293
4/5/20 18:41,Jacob Sigman,Think About You,257648
4/5/20 18:59,Champagne Lane,Golden Hour,278011
4/5/20 19:21,Cody Fry,Go,68654
4/5/20 19:25,Jukebox The Ghost,Fred Astaire,219000
4/5/20 19:27,Jake Scott,Tuesdays,141094
4/5/20 19:31,The Happy Fits,"So Alright, Cool, Whatever",191360
4/5/20 19:34,Stephen Day,Hey Lady,230103
4/5/20 19:38,Colony House,Moving Forward,217986
4/5/20 19:42,Birdtalker,Graveclothes,227105
4/5/20 19:45,The Mowgli's,I Feel Good About This,201527
4/5/20 19:49,Bleachers,Don't Take The Money,215546
4/5/20 19:53,A Great Big World,Kaleidoscope,229320
4/5/20 19:56,Ripe,Downward,224411
4/5/20 20:00,Honest Men,I'm Okay,191798
